date,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days,has_holiday,holiday_name
2015-01-01,2.8,0.9,4.4,15.2,0.0,1,New Year's Day
2015-01-02,4.6,1.6,7.5,13.4,0.0,0,
2015-01-03,3.9,2.9,5.1,14.1,0.0,0,
2015-01-04,3.0,1.6,4.2,15.0,0.0,0,
2015-01-05,2.7,1.1,3.7,15.3,0.0,0,
2015-01-06,1.2,-0.5,3.0,16.8,0.0,0,
2015-01-07,2.1,-0.1,4.7,15.9,0.0,0,
2015-01-08,3.1,0.8,6.4,14.9,0.0,0,
2015-01-09,6.0,4.3,8.1,12.0,0.0,0,
2015-01-10,8.5,5.3,11.6,9.5,0.0,0,
2015-01-11,3.6,2.4,5.0,14.4,0.0,0,
2015-01-12,4.7,2.0,6.9,13.3,0.0,0,
2015-01-13,9.2,7.2,11.2,8.8,0.0,0,
2015-01-14,6.1,3.4,8.8,11.9,0.0,0,
2015-01-15,4.2,0.1,8.8,13.8,0.0,0,
2015-01-16,7.5,5.0,9.3,10.5,0.0,0,
2015-01-17,3.4,-1.3,5.3,14.6,0.0,0,
2015-01-18,-0.8,-2.9,3.0,18.8,0.0,0,
2015-01-19,-0.6,-3.6,2.9,18.6,0.0,0,
2015-01-20,0.7,-0.5,2.4,17.3,0.0,0,
2015-01-21,0.1,-1.3,1.4,17.9,0.0,0,
2015-01-22,-0.3,-1.3,0.9,18.3,0.0,0,
2015-01-23,0.1,-1.2,1.7,17.9,0.0,0,
2015-01-24,-0.7,-1.4,0.5,18.7,0.0,0,
2015-01-25,0.9,-1.5,3.4,17.1,0.0,0,
2015-01-26,1.7,0.2,4.3,16.3,0.0,0,
2015-01-27,2.8,1.2,4.5,15.2,0.0,0,
2015-01-28,2.3,-1.2,4.7,15.7,0.0,0,
2015-01-29,1.7,0.2,3.1,16.3,0.0,0,
2015-01-30,0.9,-0.9,2.9,17.1,0.0,0,
2015-01-31,-0.1,-1.0,1.0,18.1,0.0,0,
2015-02-01,0.6,-0.5,1.8,17.4,0.0,0,
2015-02-02,0.5,-1.0,2.8,17.5,0.0,0,
2015-02-03,-0.6,-2.7,1.1,18.6,0.0,0,
2015-02-04,-2.3,-4.8,0.2,20.3,0.0,0,
2015-02-05,-2.6,-6.6,-0.4,20.6,0.0,0,
2015-02-06,-2.4,-4.2,-0.9,20.4,0.0,0,
2015-02-07,-1.9,-8.2,2.9,19.9,0.0,0,
2015-02-08,0.7,-1.3,2.9,17.3,0.0,0,
2015-02-09,3.1,-1.2,5.4,14.9,0.0,0,
2015-02-10,4.1,3.4,5.3,13.9,0.0,0,
2015-02-11,3.3,2.5,4.4,14.7,0.0,0,
2015-02-12,1.7,-2.5,6.1,16.3,0.0,0,
2015-02-13,-0.2,-3.4,4.5,18.2,0.0,0,
2015-02-14,-0.4,-3.8,4.9,18.4,0.0,0,
2015-02-15,0.8,-3.2,6.7,17.2,0.0,0,
2015-02-16,1.0,-1.0,4.7,17.0,0.0,0,
2015-02-17,1.0,-2.1,5.8,17.0,0.0,0,
2015-02-18,2.1,0.5,5.8,15.9,0.0,0,
2015-02-19,1.8,-0.8,6.2,16.2,0.0,0,
2015-02-20,2.0,-2.4,8.1,16.0,0.0,0,
2015-02-21,4.9,1.0,10.0,13.1,0.0,0,
2015-02-22,2.0,-0.7,5.2,16.0,0.0,0,
2015-02-23,1.9,0.0,4.7,16.1,0.0,0,
2015-02-24,3.1,-0.6,8.3,14.9,0.0,0,
2015-02-25,2.3,-2.4,7.4,15.7,0.0,0,
2015-02-26,1.6,-2.9,7.6,16.4,0.0,0,
2015-02-27,2.3,-2.1,8.4,15.7,0.0,0,
2015-02-28,2.6,0.4,4.3,15.4,0.0,0,
2015-03-01,3.0,-0.2,6.8,15.0,0.0,0,
2015-03-02,4.5,2.3,7.1,13.5,0.0,0,
2015-03-03,4.2,1.9,7.4,13.8,0.0,0,
2015-03-04,3.5,1.1,6.6,14.5,0.0,0,
2015-03-05,3.4,1.1,6.2,14.6,0.0,0,
2015-03-06,3.7,-1.2,7.6,14.3,0.0,0,
2015-03-07,6.0,0.7,11.0,12.0,0.0,0,
2015-03-08,8.6,2.9,14.7,9.4,0.0,0,
2015-03-09,8.2,5.0,11.9,9.8,0.0,0,
2015-03-10,7.1,2.1,11.1,10.9,0.0,0,
2015-03-11,4.5,0.5,7.5,13.5,0.0,0,
2015-03-12,2.7,0.6,4.9,15.3,0.0,0,
2015-03-13,2.9,-0.3,5.9,15.1,0.0,0,
2015-03-14,4.5,2.6,6.8,13.5,0.0,0,
2015-03-15,6.0,3.8,8.4,12.0,0.0,0,
2015-03-16,8.7,4.6,13.2,9.3,0.0,0,
2015-03-17,10.3,5.8,15.6,7.699999999999999,0.0,0,
2015-03-18,7.4,3.6,11.2,10.6,0.0,0,
2015-03-19,5.3,0.2,11.0,12.7,0.0,0,
2015-03-20,5.3,1.3,11.0,12.7,0.0,0,
2015-03-21,2.7,-1.0,6.1,15.3,0.0,0,
2015-03-22,1.0,-2.5,4.6,17.0,0.0,0,
2015-03-23,3.1,-2.1,9.1,14.9,0.0,0,
